benchmark,subset,level,mmseqs-nn,emb-nn,hybrid,n
ec1+ec4,all,4,62.5,61.6,64.4,320
ec1+ec4,all,1,80.3,85.3,87.5,320
ec1+ec4,no hit,4,0.0,16.2,16.2,37
ec1+ec4,no hit,1,0.0,62.2,62.2,37
ec1+ec4,hit < 30%,4,26.5,29.4,26.5,34
ec1+ec4,hit < 30%,1,76.5,79.4,76.5,34
ec1+ec4,hit >= 30%,4,76.7,72.7,76.7,249
ec1+ec4,hit >= 30%,1,92.8,89.6,92.8,249
ec1,all,4,62.4,60.0,63.3,210
ec1,all,1,86.7,88.1,91.4,210
ec1,no hit,4,0.0,13.3,13.3,15
ec1,no hit,1,0.0,66.7,66.7,15
ec1,hit < 30%,4,16.0,20.0,16.0,25
ec1,hit < 30%,1,72.0,76.0,72.0,25
ec1,hit >= 30%,4,74.7,70.0,74.7,170
ec1,hit >= 30%,1,96.5,91.8,96.5,170
ec4,all,4,62.7,64.5,66.4,110
ec4,all,1,68.2,80.0,80.0,110
ec4,no hit,4,0.0,18.2,18.2,22
ec4,no hit,1,0.0,59.1,59.1,22
ec4,hit < 30%,4,55.6,55.6,55.6,9
ec4,hit < 30%,1,88.9,88.9,88.9,9
ec4,hit >= 30%,4,81.0,78.5,81.0,79
ec4,hit >= 30%,1,84.8,84.8,84.8,79
